Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Footscray,32 Commercial Rd,3,h,1155000.0,S,Burnham,7/11/2016,6.4,3011.0,3.0,1.0,3.0,585.0,120.0,1950.0,Maribyrnong City Council,-37.7941,144.8924,Western Metropolitan,7570.0
Footscray,1/13 Essex St,3,h,853000.0,S,Village,8/10/2016,6.4,3011.0,3.0,1.0,1.0,0.0,141.0,2010.0,Maribyrnong City Council,-37.7962,144.8851,Western Metropolitan,7570.0
Footscray,6/11 Nicholson St,3,u,480000.0,S,Nelson,8/10/2016,6.4,3011.0,3.0,1.0,1.0,0.0,90.0,1985.0,Maribyrnong City Council,-37.7949,144.9007,Western Metropolitan,7570.0
Footscray,3 Park St,4,h,775000.0,S,Sweeney,8/10/2016,6.4,3011.0,2.0,1.0,2.0,277.0,87.0,1890.0,Maribyrnong City Council,-37.7901,144.8883,Western Metropolitan,7570.0
Footscray,14/258 Ballarat Rd,2,u,,PI,Sweeney,10/09/2016,6.4,3011.0,2.0,1.0,1.0,0.0,65.0,1970.0,Maribyrnong City Council,-37.7892,144.8851,Western Metropolitan,7570.0
Footscray,7/46 Commercial Rd,2,h,,S,Village,10/12/2016,6.4,3011.0,2.0,1.0,1.0,0.0,72.0,2003.0,Maribyrnong City Council,-37.7946,144.8924,Western Metropolitan,7570.0
Footscray,8/19 Empire St,2,u,281000.0,S,Sweeney,10/12/2016,6.4,3011.0,2.0,1.0,1.0,0.0,65.0,1980.0,Maribyrnong City Council,-37.7891,144.8912,Western Metropolitan,7570.0
Footscray,1 Stanlake St,4,h,1300000.0,S,hockingstuart,10/12/2016,6.4,3011.0,4.0,2.0,3.0,0.0,190.0,1950.0,Maribyrnong City Council,-37.7923,144.8848,Western Metropolitan,7570.0
Footscray,2/10 Swan St,3,t,714000.0,S,Jas,10/12/2016,6.4,3011.0,3.0,2.0,2.0,164.0,3.0,2008.0,Maribyrnong City Council,-37.7948,144.8868,Western Metropolitan,7570.0
Footscray,211A Ballarat Rd,2,h,950000.0,PI,Burnham,11/02/2017,6.4,3011.0,2.0,1.0,2.0,657.0,92.0,1940.0,Maribyrnong City Council,-37.7909,144.8884,Western Metropolitan,7570.0
Footscray,120 MacPherson St,3,h,760000.0,S,Biggin,12/06/2016,6.4,3011.0,3.0,1.0,1.0,265.0,115.0,1910.0,Maribyrnong City Council,-37.7975,144.8894,Western Metropolitan,7570.0
Footscray,3/53 Whitehall St,2,u,420000.0,VB,Village,12/06/2016,6.4,3011.0,2.0,1.0,1.0,0.0,75.0,2010.0,Maribyrnong City Council,-37.8042,144.9049,Western Metropolitan,7570.0
Footscray,36 Windsor St,3,h,932000.0,S,Jas,13/08/2016,6.4,3011.0,2.0,1.0,1.0,451.0,130.0,1910.0,Maribyrnong City Council,-37.8023,144.8915,Western Metropolitan,7570.0
Footscray,95 Gordon St,3,h,780000.0,S,Jas,14/05/2016,6.4,3011.0,3.0,1.0,2.0,323.0,129.0,1900.0,Maribyrnong City Council,-37.7935,144.8893,Western Metropolitan,7570.0
Footscray,4/5 Empire St,2,u,295000.0,SP,Gunn&Co,15/10/2016,6.4,3011.0,2.0,1.0,1.0,0.0,69.0,1960.0,Maribyrnong City Council,-37.7903,144.891,Western Metropolitan,7570.0
Footscray,3/23 Pickett St,2,u,433000.0,SP,Jas,15/10/2016,6.4,3011.0,2.0,1.0,1.0,0.0,66.0,2012.0,Maribyrnong City Council,-37.8017,144.8957,Western Metropolitan,7570.0
Footscray,9/6 Rosamond Rd,2,t,410000.0,SP,Rendina,15/10/2016,6.4,3011.0,2.0,2.0,1.0,65.0,80.0,2014.0,Maribyrnong City Council,-37.7881,144.8838,Western Metropolitan,7570.0
Footscray,53 Ryan St,2,h,1170000.0,S,Sweeney,15/10/2016,6.4,3011.0,2.0,1.0,1.0,184.0,103.0,1900.0,Maribyrnong City Council,-37.7988,144.90200000000002,Western Metropolitan,7570.0
Footscray,105/72 Cross St,1,u,375000.0,S,Biggin,16/04/2016,6.4,3011.0,1.0,1.0,1.0,0.0,50.0,1920.0,Maribyrnong City Council,-37.8006,144.881,Western Metropolitan,7570.0
Footscray,2 Buckingham St,3,h,747000.0,S,Jas,16/07/2016,6.4,3011.0,3.0,1.0,1.0,246.0,120.0,1940.0,Maribyrnong City Council,-37.8012,144.8924,Western Metropolitan,7570.0
Footscray,88 Eleanor St,3,h,775000.0,SP,Sweeney,16/07/2016,6.4,3011.0,3.0,1.0,1.0,242.0,99.0,1920.0,Maribyrnong City Council,-37.7956,144.8848,Western Metropolitan,7570.0
Footscray,13/41 Moreland St,2,u,571000.0,S,hockingstuart,16/07/2016,6.4,3011.0,2.0,2.0,1.0,0.0,78.0,2013.0,Maribyrnong City Council,-37.8025,144.9073,Western Metropolitan,7570.0
Footscray,52 Dudley St,4,h,,SN,Village,17/09/2016,6.4,3011.0,2.0,2.0,1.0,266.0,111.0,1930.0,Maribyrnong City Council,-37.7972,144.8826,Western Metropolitan,7570.0
Footscray,11 Geelong Rd,3,h,,PN,Village,17/09/2016,6.4,3011.0,3.0,1.0,2.0,522.0,109.0,1920.0,Maribyrnong City Council,-37.7958,144.8991,Western Metropolitan,7570.0
Footscray,8/33 Gordon St,1,u,305000.0,S,Burnham,17/09/2016,6.4,3011.0,1.0,1.0,1.0,59.0,70.0,1965.0,Maribyrnong City Council,-37.7903,144.8899,Western Metropolitan,7570.0
Footscray,31 Southampton St,3,h,860500.0,S,Burnham,17/09/2016,6.4,3011.0,3.0,2.0,2.0,322.0,228.0,1980.0,Maribyrnong City Council,-37.7963,144.8862,Western Metropolitan,7570.0
Footscray,5/11 Eldridge St,2,u,,PI,Sweeney,18/03/2017,6.4,3011.0,2.0,1.0,1.0,0.0,67.0,1970.0,Maribyrnong City Council,-37.79,144.8926,Western Metropolitan,7570.0
Footscray,88 Victoria St,3,h,875000.0,S,Village,18/03/2017,6.4,3011.0,3.0,1.0,0.0,262.0,92.0,,Maribyrnong City Council,-37.8022,144.8924,Western Metropolitan,7570.0
Footscray,405/250 Barkly St,2,u,370000.0,SP,Sweeney,18/06/2016,6.4,3011.0,2.0,1.0,1.0,0.0,75.0,2007.0,Maribyrnong City Council,-37.7992,144.8961,Western Metropolitan,7570.0
Footscray,167 Gordon St,2,h,711000.0,SP,Jas,18/06/2016,6.4,3011.0,2.0,1.0,2.0,253.0,90.0,1910.0,Maribyrnong City Council,-37.7968,144.8887,Western Metropolitan,7570.0
Footscray,224 Ballarat Rd,2,h,690500.0,SP,Rendina,19/11/2016,6.4,3011.0,2.0,1.0,1.0,212.0,98.0,1900.0,Maribyrnong City Council,-37.7903,144.8879,Western Metropolitan,7570.0
Footscray,7 Essex St,2,h,747000.0,S,Sweeney,19/11/2016,6.4,3011.0,2.0,1.0,1.0,320.0,94.0,1900.0,Maribyrnong City Council,-37.7964,144.8871,Western Metropolitan,7570.0
Footscray,6/27 Eldridge St,2,u,,W,Sweeney,22/05/2016,6.4,3011.0,2.0,1.0,1.0,0.0,60.0,1970.0,Maribyrnong City Council,-37.7886,144.8928,Western Metropolitan,7570.0
Footscray,51 Lynch St,2,h,858000.0,SP,Jas,22/05/2016,6.4,3011.0,2.0,1.0,1.0,313.0,93.0,1915.0,Maribyrnong City Council,-37.7966,144.9016,Western Metropolitan,7570.0
Footscray,216a Ballarat Rd,4,t,699000.0,VB,Raine,22/08/2016,6.4,3011.0,4.0,2.0,2.0,0.0,126.0,2015.0,Maribyrnong City Council,-37.7905,144.8882,Western Metropolitan,7570.0
Footscray,35 Leander St,2,h,835000.0,SP,Jas,22/08/2016,6.4,3011.0,2.0,1.0,1.0,222.0,109.0,1920.0,Maribyrnong City Council,-37.7962,144.8844,Western Metropolitan,7570.0
Footscray,49 MacPherson St,2,h,661000.0,S,Sweeney,22/08/2016,6.4,3011.0,2.0,1.0,1.0,132.0,83.0,1970.0,Maribyrnong City Council,-37.7946,144.8903,Western Metropolitan,7570.0
Footscray,69 MacPherson St,2,h,757500.0,S,Sweeney,22/08/2016,6.4,3011.0,2.0,1.0,0.0,258.0,108.0,1900.0,Maribyrnong City Council,-37.7959,144.8901,Western Metropolitan,7570.0
Footscray,39 Moore St,3,h,,SP,Burnham,22/08/2016,6.4,3011.0,3.0,1.0,2.0,272.0,106.0,1920.0,Maribyrnong City Council,-37.7977,144.904,Western Metropolitan,7570.0
Footscray,208 Gordon St,3,h,,SN,Barry,23/04/2016,6.4,3011.0,3.0,1.0,3.0,285.0,112.0,1930.0,Maribyrnong City Council,-37.7953,144.8886,Western Metropolitan,7570.0
Footscray,506/55 Hopkins St,2,u,,PI,Nelson,24/09/2016,6.4,3011.0,2.0,2.0,1.0,0.0,80.0,2009.0,Maribyrnong City Council,-37.8006,144.9053,Western Metropolitan,7570.0
Footscray,4/11 Nicholson St,1,u,282000.0,PI,Sweeney,24/09/2016,6.4,3011.0,1.0,1.0,1.0,1783.0,42.0,1975.0,Maribyrnong City Council,-37.7949,144.9007,Western Metropolitan,7570.0
Footscray,2/25 Stanlake St,3,t,699000.0,S,Jas,24/09/2016,6.4,3011.0,3.0,1.0,1.0,125.0,113.0,2000.0,Maribyrnong City Council,-37.7922,144.8831,Western Metropolitan,7570.0
Footscray,24 Dudley St,3,h,850000.0,SP,Village,25/02/2017,6.4,3011.0,3.0,1.0,0.0,190.0,99.0,1930.0,Maribyrnong City Council,-37.795,144.88299999999998,Western Metropolitan,7570.0
Footscray,12/14 Eldridge St,2,u,315000.0,PI,C21,25/02/2017,6.4,3011.0,2.0,1.0,1.0,882.0,74.0,1970.0,Maribyrnong City Council,-37.7899,144.893,Western Metropolitan,7570.0
Footscray,65 Hyde St,3,h,740000.0,SP,Jas,25/02/2017,6.4,3011.0,3.0,1.0,1.0,211.0,94.0,1910.0,Maribyrnong City Council,-37.8059,144.901,Western Metropolitan,7570.0
Footscray,4 Johnson St,3,h,,S,Jas,25/02/2017,6.4,3011.0,3.0,1.0,4.0,378.0,120.0,1980.0,Maribyrnong City Council,-37.7958,144.8936,Western Metropolitan,7570.0
Footscray,4/155 Gordon St,3,h,,SN,Barry,26/07/2016,6.4,3011.0,2.0,1.0,1.0,0.0,79.0,2013.0,Maribyrnong City Council,-37.7964,144.8888,Western Metropolitan,7570.0
Footscray,62 Moore St,3,h,980000.0,S,GL,26/07/2016,6.4,3011.0,3.0,2.0,2.0,196.0,154.0,2006.0,Maribyrnong City Council,-37.7987,144.9034,Western Metropolitan,7570.0
Footscray,10/24 Eldridge St,2,u,316000.0,S,Burnham,27/06/2016,6.4,3011.0,2.0,1.0,1.0,0.0,55.0,1960.0,Maribyrnong City Council,-37.789,144.8932,Western Metropolitan,7570.0
Footscray,20 Ryan St,2,h,760000.0,PI,Burnham,27/06/2016,6.4,3011.0,2.0,1.0,0.0,130.0,70.0,1920.0,Maribyrnong City Council,-37.7988,144.9045,Western Metropolitan,7570.0
Footscray,39 Warleigh Rd,3,t,735000.0,S,Jas,27/06/2016,6.4,3011.0,3.0,2.0,2.0,112.0,168.0,2010.0,Maribyrnong City Council,-37.8001,144.8797,Western Metropolitan,7570.0
Footscray,4 Adelaide St,4,h,1225000.0,SP,Nelson,27/11/2016,6.4,3011.0,4.0,2.0,1.0,319.0,130.0,1915.0,Maribyrnong City Council,-37.7943,144.8875,Western Metropolitan,7570.0
Footscray,483 Barkly St,3,t,781000.0,S,Jas,27/11/2016,6.4,3011.0,3.0,2.0,2.0,98.0,169.0,2015.0,Maribyrnong City Council,,,Western Metropolitan,7570.0
Footscray,6/30 Pickett St,2,u,,PI,Barry,27/11/2016,6.4,3011.0,2.0,1.0,1.0,0.0,51.0,2014.0,Maribyrnong City Council,-37.8014,144.8959,Western Metropolitan,7570.0
Footscray,8 Dudley St,3,h,767500.0,S,Sweeney,28/05/2016,6.4,3011.0,3.0,2.0,0.0,458.0,98.0,1930.0,Maribyrnong City Council,-37.7942,144.8832,Western Metropolitan,7570.0
Footscray,116/55 Hopkins St,2,u,395000.0,SP,Greg,28/05/2016,6.4,3011.0,2.0,2.0,1.0,0.0,79.0,2009.0,Maribyrnong City Council,-37.8006,144.9053,Western Metropolitan,7570.0
Footscray,12 Tait St,4,h,815000.0,PI,Biggin,28/05/2016,6.4,3011.0,4.0,2.0,1.0,369.0,151.0,1910.0,Maribyrnong City Council,-37.7914,144.8957,Western Metropolitan,7570.0
Footscray,6/9 Mary St,2,t,,SP,Jas,28/08/2016,6.4,3011.0,2.0,1.0,1.0,132.0,122.0,2000.0,Maribyrnong City Council,-37.7958,144.8953,Western Metropolitan,7570.0
Footscray,20 McDougall Dr,3,t,757000.0,S,Jas,28/08/2016,6.4,3011.0,3.0,2.0,2.0,102.0,102.0,2011.0,Maribyrnong City Council,-37.7987,144.8807,Western Metropolitan,7570.0
Footscray,20 Nicholson St,4,h,1450000.0,SP,Village,28/08/2016,6.4,3011.0,4.0,1.0,1.0,799.0,160.0,1910.0,Maribyrnong City Council,-37.7958,144.9001,Western Metropolitan,7570.0
Footscray,119 Droop St,2,h,745000.0,S,Village,30/07/2016,6.4,3011.0,2.0,1.0,1.0,355.0,74.0,1890.0,Maribyrnong City Council,-37.7931,144.8938,Western Metropolitan,7570.0
Footscray,1a Leander St,2,h,716000.0,S,Ray,30/07/2016,6.4,3011.0,2.0,1.0,2.0,274.0,275.0,2000.0,Maribyrnong City Council,-37.7939,144.8846,Western Metropolitan,7570.0
Glen Iris,6 Beatrice St,3,h,1735000.0,S,hockingstuart,3/09/2016,9.2,3146.0,3.0,2.0,3.0,680.0,170.0,1935.0,Boroondara City Council,-37.854,145.0832,Southern Metropolitan,10412.0
Glen Iris,30 Howie St,3,t,,SP,Marshall,3/09/2016,9.2,3146.0,3.0,3.0,2.0,605.0,259.0,1920.0,Boroondara City Council,-37.854,145.0733,Southern Metropolitan,10412.0
Glen Iris,11 Vincent St,4,h,3400000.0,VB,Kay,3/09/2016,9.2,3146.0,4.0,3.0,2.0,856.0,265.0,1920.0,Boroondara City Council,-37.8628,145.0436,Southern Metropolitan,10412.0
Glen Iris,2 Vincent St,5,h,3730000.0,PI,Abercromby's,3/09/2016,9.2,3146.0,4.0,3.0,2.0,919.0,353.0,1925.0,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412.0
Glen Iris,28 Alfred Rd,4,h,1800000.0,VB,Marshall,3/12/2016,9.2,3146.0,4.0,2.0,2.0,868.0,217.0,1930.0,Boroondara City Council,-37.8522,145.0893,Southern Metropolitan,10412.0
Glen Iris,26 Rosedale Rd,4,h,,SN,RT,3/12/2016,9.2,3146.0,4.0,2.0,2.0,375.0,249.0,2013.0,Boroondara City Council,-37.8582,145.0695,Southern Metropolitan,10412.0
Glen Iris,62 Staughton Rd,4,h,1998000.0,S,J,3/12/2016,9.2,3146.0,4.0,2.0,1.0,739.0,183.0,2002.0,Boroondara City Council,-37.8513,145.0601,Southern Metropolitan,10412.0
Glen Iris,4/58 Bath Rd,2,u,671000.0,S,Noel,4/03/2017,9.2,3146.0,2.0,1.0,1.0,0.0,85.0,1960.0,Boroondara City Council,-37.8555,145.0889,Southern Metropolitan,10412.0
Glen Iris,2/11 Peace St,3,h,1425000.0,S,Marshall,4/03/2017,9.2,3146.0,3.0,2.0,2.0,217.0,163.0,2006.0,Boroondara City Council,-37.8639,145.0641,Southern Metropolitan,10412.0
Glen Iris,48 Alfred Rd,3,h,1530000.0,S,Jellis,4/06/2016,9.2,3146.0,3.0,1.0,1.0,753.0,118.0,1940.0,Boroondara City Council,-37.8543,145.0889,Southern Metropolitan,10412.0
Glen Iris,3 Bridges St,4,h,1900000.0,PI,Jellis,4/06/2016,9.2,3146.0,4.0,4.0,2.0,708.0,323.0,1985.0,Boroondara City Council,-37.8646,145.0673,Southern Metropolitan,10412.0
Glen Iris,3 Charles St,3,h,,SP,RT,4/06/2016,9.2,3146.0,3.0,1.0,2.0,656.0,106.0,1925.0,Boroondara City Council,-37.8507,145.0916,Southern Metropolitan,10412.0
Glen Iris,6 Chester St,3,h,1360000.0,PI,Fletchers,4/06/2016,9.2,3146.0,3.0,2.0,1.0,704.0,134.0,1940.0,Boroondara City Council,-37.852,145.0942,Southern Metropolitan,10412.0
Glen Iris,149 Finch St,4,h,,SN,Abercromby's,4/06/2016,9.2,3146.0,4.0,2.0,2.0,674.0,156.0,1970.0,Boroondara City Council,-37.8613,145.045,Southern Metropolitan,10412.0
Glen Iris,56 Gardiner Pde,5,h,2175000.0,S,Fletchers,4/06/2016,9.2,3146.0,5.0,3.0,4.0,619.0,327.0,2003.0,Boroondara City Council,-37.8554,145.0611,Southern Metropolitan,10412.0
Glen Iris,22 Renwick St,4,h,2325000.0,PI,Marshall,4/06/2016,9.2,3146.0,4.0,3.0,2.0,638.0,314.0,1930.0,Boroondara City Council,-37.8523,145.0726,Southern Metropolitan,10412.0
Glen Iris,1/76 Summerhill Rd,3,t,,S,Marshall,4/06/2016,9.2,3146.0,3.0,3.0,2.0,0.0,202.0,2006.0,Boroondara City Council,-37.855,145.0758,Southern Metropolitan,10412.0
Glen Iris,123 Tooronga Rd,3,h,,S,Jellis,4/06/2016,9.2,3146.0,3.0,2.0,2.0,537.0,157.0,1930.0,Boroondara City Council,-37.8622,145.0402,Southern Metropolitan,10412.0
Glen Iris,10 Hazeldine Rd,4,h,2538000.0,S,Marshall,6/08/2016,9.2,3146.0,4.0,2.0,3.0,630.0,314.0,2000.0,Boroondara City Council,-37.856,145.0691,Southern Metropolitan,10412.0
Glen Iris,1 Montana St,4,h,2300000.0,VB,Jellis,6/08/2016,9.2,3146.0,4.0,3.0,4.0,1258.0,254.0,1941.0,Boroondara City Council,-37.8552,145.082,Southern Metropolitan,10412.0
Glen Iris,1/23 Aintree Rd,2,u,550000.0,SP,Jellis,7/05/2016,9.2,3146.0,2.0,1.0,1.0,0.0,63.0,1968.0,Boroondara City Council,-37.8567,145.0435,Southern Metropolitan,10412.0
Glen Iris,6 Chester St,3,h,1600000.0,VB,Fletchers,7/05/2016,9.2,3146.0,3.0,2.0,1.0,704.0,134.0,1940.0,Boroondara City Council,-37.852,145.0942,Southern Metropolitan,10412.0
Glen Iris,16 Kardinia Rd,3,h,,S,RT,7/05/2016,9.2,3146.0,4.0,1.0,1.0,724.0,137.0,1930.0,Boroondara City Council,-37.8604,145.0686,Southern Metropolitan,10412.0
Glen Iris,48 Martin Rd,3,h,2115000.0,S,Jellis,7/05/2016,9.2,3146.0,4.0,2.0,2.0,745.0,157.0,1920.0,Boroondara City Council,-37.8501,145.059,Southern Metropolitan,10412.0
Glen Iris,73 Pascoe St,3,h,1700000.0,S,Jellis,7/05/2016,9.2,3146.0,3.0,2.0,2.0,625.0,188.0,1951.0,Boroondara City Council,-37.8602,145.0925,Southern Metropolitan,10412.0
Glen Iris,66 Rowen St,4,h,,SP,Marshall,7/05/2016,9.2,3146.0,4.0,2.0,2.0,624.0,465.0,2011.0,Boroondara City Council,-37.8587,145.0921,Southern Metropolitan,10412.0
Glen Iris,192 Tooronga Rd,4,h,2077000.0,S,RT,7/11/2016,9.2,3146.0,4.0,2.0,3.0,553.0,143.0,1910.0,Boroondara City Council,-37.8589,145.0413,Southern Metropolitan,10412.0
Glen Iris,34 Yeovil Rd,4,h,2850000.0,S,Jellis,7/11/2016,9.2,3146.0,4.0,3.0,2.0,1184.0,305.0,1935.0,Boroondara City Council,-37.8526,145.0848,Southern Metropolitan,10412.0
Glen Iris,7/69 Edgar St N,2,u,411000.0,SP,Noel,8/10/2016,9.2,3146.0,2.0,1.0,1.0,0.0,65.0,1970.0,Boroondara City Council,-37.85,145.0461,Southern Metropolitan,10412.0
Glen Iris,51 Dent St,4,h,2020000.0,PI,Marshall,10/09/2016,9.2,3146.0,4.0,2.0,2.0,630.0,351.0,2009.0,Boroondara City Council,-37.8667,145.0752,Southern Metropolitan,10412.0
Glen Iris,57 Edgar St,4,h,,S,Marshall,10/09/2016,9.2,3146.0,4.0,1.0,1.0,945.0,192.0,1970.0,Boroondara City Council,-37.8522,145.0458,Southern Metropolitan,10412.0
Glen Iris,33 Mills St,3,h,,S,Marshall,10/09/2016,9.2,3146.0,3.0,1.0,1.0,590.0,141.0,1930.0,Boroondara City Council,-37.8518,145.0828,Southern Metropolitan,10412.0
Glen Iris,54 Albion Rd,4,h,,S,hockingstuart,10/12/2016,9.2,3146.0,4.0,1.0,2.0,696.0,197.0,1940.0,Boroondara City Council,-37.8662,145.0675,Southern Metropolitan,10412.0
Glen Iris,17 Bonnyview St,3,h,,S,Fletchers,10/12/2016,9.2,3146.0,3.0,1.0,1.0,788.0,150.0,1950.0,Boroondara City Council,-37.8524,145.0885,Southern Metropolitan,10412.0
Glen Iris,5 Charles St,4,h,2010000.0,S,Marshall,10/12/2016,9.2,3146.0,4.0,2.0,2.0,659.0,212.0,1930.0,Boroondara City Council,-37.8509,145.0916,Southern Metropolitan,10412.0
Glen Iris,26 Gardiner Pde,4,h,2975000.0,S,Marshall,10/12/2016,9.2,3146.0,4.0,3.0,4.0,0.0,30.0,1930.0,Boroondara City Council,-37.8541,145.0643,Southern Metropolitan,10412.0
Glen Iris,1/39 Scott Gr,1,u,452000.0,S,RT,10/12/2016,9.2,3146.0,1.0,1.0,1.0,63.0,52.0,1980.0,Boroondara City Council,-37.8552,145.05,Southern Metropolitan,10412.0
Glen Iris,1/292 Warrigal Rd,2,u,,SP,Buxton,11/03/2017,9.2,3146.0,2.0,1.0,1.0,509.0,99.0,1970.0,Boroondara City Council,-37.8558,145.0944,Southern Metropolitan,10412.0
Glen Iris,56 Brandon St,3,h,1820000.0,S,Jellis,12/11/2016,9.2,3146.0,3.0,1.0,3.0,650.0,136.0,1930.0,Boroondara City Council,-37.8571,145.0766,Southern Metropolitan,10412.0
Glen Iris,1/6 Edgar St,1,u,291000.0,PI,hockingstuart,12/11/2016,9.2,3146.0,1.0,1.0,1.0,1097.0,38.0,1982.0,Boroondara City Council,-37.8576,145.0452,Southern Metropolitan,10412.0
Glen Iris,6/3 Hope St,2,u,,S,Jellis,12/11/2016,9.2,3146.0,2.0,1.0,1.0,829.0,83.0,1970.0,Boroondara City Council,-37.8628,145.0483,Southern Metropolitan,10412.0
Glen Iris,20 Howitt St,4,h,2376000.0,S,Jellis,12/11/2016,9.2,3146.0,4.0,2.0,2.0,652.0,230.0,1925.0,Boroondara City Council,-37.8479,145.0557,Southern Metropolitan,10412.0
Glen Iris,6 Rix St,2,h,,S,Jellis,12/11/2016,9.2,3146.0,2.0,1.0,2.0,400.0,98.0,1930.0,Boroondara City Council,-37.8471,145.0509,Southern Metropolitan,10412.0
Glen Iris,22 Wills St,3,h,1456000.0,SP,Jellis,12/11/2016,9.2,3146.0,3.0,1.0,2.0,504.0,142.0,1920.0,Boroondara City Council,-37.8541,145.0544,Southern Metropolitan,10412.0
Glen Iris,12 Nerissa St,4,h,,S,Jellis,13/08/2016,9.2,3146.0,4.0,2.0,3.0,697.0,188.0,1950.0,Boroondara City Council,-37.8591,145.0839,Southern Metropolitan,10412.0
Glen Iris,294 Tooronga Rd,3,h,1430000.0,S,Marshall,13/08/2016,9.2,3146.0,3.0,3.0,2.0,385.0,255.0,,Boroondara City Council,-37.8524,145.0425,Southern Metropolitan,10412.0
Glen Iris,1 Barina Rd,4,h,,S,Marshall,14/05/2016,9.2,3146.0,4.0,2.0,2.0,717.0,271.0,2003.0,Boroondara City Council,-37.8614,145.0669,Southern Metropolitan,10412.0
Glen Iris,11/63 Edgar St N,1,t,345000.0,PI,Jellis,14/05/2016,9.2,3146.0,1.0,1.0,1.0,745.0,44.0,1970.0,Boroondara City Council,-37.8505,145.0459,Southern Metropolitan,10412.0
Glen Iris,16 Flowerdale Rd,5,h,2000000.0,PI,Marshall,14/05/2016,9.2,3146.0,5.0,3.0,1.0,696.0,248.0,1920.0,Boroondara City Council,-37.8563,145.0709,Southern Metropolitan,10412.0
Glen Iris,2 Leopold St,5,h,,S,Marshall,14/05/2016,9.2,3146.0,5.0,3.0,3.0,660.0,241.0,1920.0,Boroondara City Council,-37.8594,145.0417,Southern Metropolitan,10412.0
Glen Iris,11 Nepean St,3,h,,S,Jellis,14/05/2016,9.2,3146.0,3.0,1.0,3.0,663.0,129.0,1923.0,Boroondara City Council,-37.8484,145.055,Southern Metropolitan,10412.0
Glen Iris,10 Bardolph St,2,t,585000.0,S,Jellis,15/10/2016,9.2,3146.0,2.0,1.0,1.0,84.0,84.0,1960.0,Boroondara City Council,-37.8517,145.0796,Southern Metropolitan,10412.0
Glen Iris,67 Celia St,4,h,1700000.0,PI,Fletchers,15/10/2016,9.2,3146.0,4.0,3.0,1.0,650.0,266.0,1946.0,Boroondara City Council,-37.8581,145.078,Southern Metropolitan,10412.0
Glen Iris,6 Ellis Rd,3,h,,SP,Marshall,15/10/2016,9.2,3146.0,3.0,1.0,2.0,623.0,136.0,1920.0,Boroondara City Council,-37.861,145.0466,Southern Metropolitan,10412.0
Glen Iris,3 Glentilt Rd,4,h,,S,Marshall,15/10/2016,9.2,3146.0,4.0,2.0,3.0,643.0,221.0,1915.0,Boroondara City Council,-37.8535,145.0501,Southern Metropolitan,10412.0
Glen Iris,33 Queens Pde,4,h,,S,Jellis,15/10/2016,9.2,3146.0,4.0,2.0,3.0,798.0,209.0,1994.0,Boroondara City Council,-37.8529,145.0923,Southern Metropolitan,10412.0
Glen Iris,2/67 Staughton Rd,3,h,1375000.0,S,Marshall,15/10/2016,9.2,3146.0,3.0,2.0,2.0,328.0,176.0,1990.0,Boroondara City Council,-37.8529,145.0605,Southern Metropolitan,10412.0
Glen Iris,2/292 Tooronga Rd,3,u,,SP,Marshall,15/10/2016,9.2,3146.0,3.0,2.0,2.0,205.0,205.0,2006.0,Boroondara City Council,-37.8524,145.0431,Southern Metropolitan,10412.0
Glen Iris,56 Wills St,2,h,920000.0,S,Fletchers,15/10/2016,9.2,3146.0,2.0,1.0,2.0,334.0,115.0,1930.0,Boroondara City Council,-37.8577,145.0576,Southern Metropolitan,10412.0
Glen Iris,229 Tooronga Rd,3,h,,S,Jellis,16/04/2016,9.2,3146.0,3.0,1.0,1.0,442.0,116.0,1930.0,Boroondara City Council,-37.855,145.0416,Southern Metropolitan,10412.0
Glen Iris,101/220 Burke Rd,1,u,,S,Fletchers,16/07/2016,9.2,3146.0,1.0,1.0,1.0,0.0,43.0,2012.0,Boroondara City Council,-37.8552,145.0523,Southern Metropolitan,10412.0
Glen Iris,1/38 Edgar St,2,u,382000.0,SP,hockingstuart,16/07/2016,9.2,3146.0,2.0,1.0,1.0,1069.0,33.0,1960.0,Boroondara City Council,-37.8547,145.0457,Southern Metropolitan,10412.0
Glen Iris,1597 Malvern Rd,2,h,1280000.0,S,Noel,16/07/2016,9.2,3146.0,2.0,1.0,1.0,412.0,123.0,1950.0,Boroondara City Council,-37.8541,145.05100000000002,Southern Metropolitan,10412.0
Glen Iris,116 High St,5,h,2825000.0,PI,Jellis,17/09/2016,9.2,3146.0,5.0,4.0,4.0,802.0,206.0,2013.0,Boroondara City Council,-37.8627,145.0719,Southern Metropolitan,10412.0
Glen Iris,1 Maitland St,3,h,2825000.0,S,Jellis,17/09/2016,9.2,3146.0,4.0,2.0,4.0,885.0,217.0,1910.0,Boroondara City Council,-37.8577,145.0421,Southern Metropolitan,10412.0
Glen Iris,27 Sunhill Rd,4,h,1825000.0,S,RT,17/09/2016,9.2,3146.0,3.0,3.0,2.0,366.0,26.0,1999.0,Boroondara City Council,-37.8503,145.0586,Southern Metropolitan,10412.0
